09:27:53.260 [main] INFO  GenCommands - 1000 6:2:3
11:19:57.121 [commands] INFO  GenCommands - 1000 2:10:8
11:19:58.122 [commands] INFO  GenCommands - 1000 4:10:6
11:19:59.137 [commands] INFO  GenCommands - 1000 4:9:1
11:20:00.152 [commands] INFO  GenCommands - 1000 1:10:2
11:21:28.840 [commands] INFO  GenCommands - 1000 8:9:1
11:21:29.853 [commands] INFO  GenCommands - 1000 2:1:8
11:21:30.866 [commands] INFO  GenCommands - 1000 7:1:3
11:21:31.882 [commands] INFO  GenCommands - 1000 3:7:8
11:21:32.896 [commands] INFO  GenCommands - 500 5:9:6
11:21:33.400 [commands] INFO  GenCommands - 500 3:1:8
11:21:33.908 [commands] INFO  GenCommands - 500 4:5:6
11:21:34.414 [commands] INFO  GenCommands - 2000 8:7:1
11:21:36.424 [commands] INFO  GenCommands - 2000 1:4:6
11:21:38.427 [commands] INFO  GenCommands - 2000 7:5:6
11:24:20.154 [commands] INFO  GenCommands - 1000 10:9:1
11:24:21.168 [commands] INFO  GenCommands - 1000 10:1:3
11:24:22.172 [commands] INFO  GenCommands - 1000 4:2:5
11:24:23.181 [commands] INFO  GenCommands - 1000 5:4:4
11:24:24.196 [commands] INFO  GenCommands - 2000 10:8:3
11:24:26.208 [commands] INFO  GenCommands - 2000 2:5:6
11:24:28.218 [commands] INFO  GenCommands - 2000 5:1:3
11:26:20.185 [commands] INFO  GenCommands - 1000 7:6:8
11:26:21.188 [commands] INFO  GenCommands - 1000 9:7:2
11:26:22.199 [commands] INFO  GenCommands - 1000 6:9:8
11:26:23.211 [commands] INFO  GenCommands - 1000 2:7:5
11:26:24.217 [commands] INFO  GenCommands - 2000 2:10:8
11:26:26.229 [commands] INFO  GenCommands - 2000 5:6:1
11:26:28.238 [commands] INFO  GenCommands - 500 3:8:8
11:26:28.738 [commands] INFO  GenCommands - 500 7:10:7
11:26:29.247 [commands] INFO  GenCommands - 500 1:6:4
11:26:29.759 [commands] INFO  GenCommands - 500 3:7:8
11:26:30.268 [commands] INFO  GenCommands - 500 3:5:1
11:26:30.778 [commands] INFO  GenCommands - 500 2:6:4
11:26:31.283 [commands] INFO  GenCommands - 500 8:4:7
11:26:31.786 [commands] INFO  GenCommands - 500 5:10:4
11:26:32.294 [commands] INFO  GenCommands - 1 7:6:1
11:26:32.298 [commands] INFO  GenCommands - 1 3:1:4
11:26:32.302 [commands] INFO  GenCommands - 1 6:5:4
11:26:32.304 [commands] INFO  GenCommands - 1 5:2:7
11:26:32.306 [commands] INFO  GenCommands - 1 7:10:3
11:26:32.308 [commands] INFO  GenCommands - 1 3:4:6
11:26:32.311 [commands] INFO  GenCommands - 1 5:6:5
11:26:32.314 [commands] INFO  GenCommands - 1 9:1:6
11:26:32.317 [commands] INFO  GenCommands - 1 6:7:2
11:26:32.320 [commands] INFO  GenCommands - 1 8:9:3
11:26:32.324 [commands] INFO  GenCommands - 1 1:8:2
11:26:32.326 [commands] INFO  GenCommands - 1 3:6:5
11:26:32.330 [commands] INFO  GenCommands - 1 1:3:3
11:26:32.332 [commands] INFO  GenCommands - 1 8:5:5
11:26:32.335 [commands] INFO  GenCommands - 1 2:4:6
11:26:32.338 [commands] INFO  GenCommands - 1 8:9:3
11:26:32.341 [commands] INFO  GenCommands - 1 9:4:1
11:26:32.344 [commands] INFO  GenCommands - 1 3:4:8
11:26:32.347 [commands] INFO  GenCommands - 1 8:4:7
11:26:32.349 [commands] INFO  GenCommands - 1 6:10:4
11:26:32.352 [commands] INFO  GenCommands - 1 3:7:4
11:26:32.354 [commands] INFO  GenCommands - 1 1:9:2
11:26:32.356 [commands] INFO  GenCommands - 1 7:2:2
11:26:32.360 [commands] INFO  GenCommands - 1 2:8:6
11:26:32.362 [commands] INFO  GenCommands - 1 1:6:3
11:26:32.365 [commands] INFO  GenCommands - 1 2:3:5
11:26:32.368 [commands] INFO  GenCommands - 1 3:8:8
11:26:32.372 [commands] INFO  GenCommands - 1 10:1:3
11:26:32.375 [commands] INFO  GenCommands - 1 4:5:4
11:26:32.378 [commands] INFO  GenCommands - 1 7:2:1
11:26:32.381 [commands] INFO  GenCommands - 1 6:8:5
11:26:32.384 [commands] INFO  GenCommands - 1 8:10:4
11:26:32.386 [commands] INFO  GenCommands - 1 9:6:2
11:26:32.388 [commands] INFO  GenCommands - 1 5:3:8
11:26:32.391 [commands] INFO  GenCommands - 1 6:10:5
11:26:32.394 [commands] INFO  GenCommands - 1 4:5:8
11:26:32.397 [commands] INFO  GenCommands - 1 1:5:8
11:26:32.399 [commands] INFO  GenCommands - 1 9:6:1
11:26:32.402 [commands] INFO  GenCommands - 1 9:7:5
11:26:32.405 [commands] INFO  GenCommands - 1 6:8:7
11:26:32.408 [commands] INFO  GenCommands - 1 10:3:5
11:26:32.411 [commands] INFO  GenCommands - 1 6:7:5
11:26:32.414 [commands] INFO  GenCommands - 1 1:5:5
11:26:32.416 [commands] INFO  GenCommands - 1 6:9:7
11:26:32.418 [commands] INFO  GenCommands - 1 5:7:5
11:26:32.420 [commands] INFO  GenCommands - 1 1:9:3
11:26:32.423 [commands] INFO  GenCommands - 1 1:5:5
11:26:32.426 [commands] INFO  GenCommands - 1 3:9:6
11:26:32.428 [commands] INFO  GenCommands - 1 7:1:7
11:26:32.430 [commands] INFO  GenCommands - 1 9:4:2
11:26:32.432 [commands] INFO  GenCommands - 1 2:7:2
11:26:32.434 [commands] INFO  GenCommands - 1 1:2:3
11:26:32.438 [commands] INFO  GenCommands - 1 9:10:5
11:26:32.442 [commands] INFO  GenCommands - 1 8:9:1
11:26:32.444 [commands] INFO  GenCommands - 1 10:6:4
11:26:32.446 [commands] INFO  GenCommands - 1 6:8:6
11:26:32.448 [commands] INFO  GenCommands - 1 6:7:1
11:26:32.450 [commands] INFO  GenCommands - 1 9:1:7
11:26:32.452 [commands] INFO  GenCommands - 1 6:5:4
11:26:32.454 [commands] INFO  GenCommands - 1 3:2:6
11:26:32.457 [commands] INFO  GenCommands - 1 8:5:4
11:26:32.459 [commands] INFO  GenCommands - 1 8:4:3
11:26:32.462 [commands] INFO  GenCommands - 1 4:5:2
11:26:32.464 [commands] INFO  GenCommands - 1 9:7:1
11:26:32.466 [commands] INFO  GenCommands - 1 10:1:5
11:26:32.469 [commands] INFO  GenCommands - 1 9:10:5
11:26:32.474 [commands] INFO  GenCommands - 1 7:1:6
11:26:32.476 [commands] INFO  GenCommands - 1 6:8:8
11:26:32.478 [commands] INFO  GenCommands - 1 7:6:5
11:26:32.480 [commands] INFO  GenCommands - 1 2:4:1
11:26:32.482 [commands] INFO  GenCommands - 1 2:7:4
11:26:32.484 [commands] INFO  GenCommands - 1 8:7:4
11:26:32.488 [commands] INFO  GenCommands - 1 3:1:7
11:26:32.490 [commands] INFO  GenCommands - 1 7:1:3
11:26:32.492 [commands] INFO  GenCommands - 1 9:10:3
11:26:32.494 [commands] INFO  GenCommands - 1 3:1:7
11:26:32.497 [commands] INFO  GenCommands - 1 9:4:3
11:26:32.499 [commands] INFO  GenCommands - 1 6:7:3
11:26:32.502 [commands] INFO  GenCommands - 1 1:7:7
11:26:32.505 [commands] INFO  GenCommands - 1 4:2:8
11:26:32.507 [commands] INFO  GenCommands - 1 7:4:6
11:26:32.509 [commands] INFO  GenCommands - 1 2:8:1
11:26:32.511 [commands] INFO  GenCommands - 1 5:6:3
11:26:32.513 [commands] INFO  GenCommands - 1 10:8:7
11:26:32.516 [commands] INFO  GenCommands - 1 7:5:4
11:26:32.518 [commands] INFO  GenCommands - 1 4:3:1
11:26:32.522 [commands] INFO  GenCommands - 1 10:9:6
11:26:32.524 [commands] INFO  GenCommands - 1 6:8:5
11:26:32.527 [commands] INFO  GenCommands - 1 6:3:2
11:26:32.529 [commands] INFO  GenCommands - 1 1:2:4
11:26:32.532 [commands] INFO  GenCommands - 1 2:8:8
11:26:32.534 [commands] INFO  GenCommands - 1 6:2:6
11:26:32.536 [commands] INFO  GenCommands - 1 10:4:5
11:26:32.538 [commands] INFO  GenCommands - 1 8:10:8
11:26:32.541 [commands] INFO  GenCommands - 1 10:9:2
11:26:32.544 [commands] INFO  GenCommands - 1 8:5:4
11:26:32.546 [commands] INFO  GenCommands - 1 3:8:5
11:26:32.548 [commands] INFO  GenCommands - 1 3:10:4
11:26:32.551 [commands] INFO  GenCommands - 1 5:6:8
11:26:32.553 [commands] INFO  GenCommands - 1 2:10:1
11:26:32.557 [commands] INFO  GenCommands - 1 6:5:5
11:26:32.559 [commands] INFO  GenCommands - 1 10:6:7
11:26:32.561 [commands] INFO  GenCommands - 1 6:1:2
11:26:32.563 [commands] INFO  GenCommands - 1 2:6:6
11:26:32.565 [commands] INFO  GenCommands - 1 5:8:6
11:26:32.568 [commands] INFO  GenCommands - 1 3:9:8
11:26:32.571 [commands] INFO  GenCommands - 1 7:4:8
11:26:32.573 [commands] INFO  GenCommands - 1 6:3:1
11:26:32.575 [commands] INFO  GenCommands - 1 9:4:2
11:26:32.577 [commands] INFO  GenCommands - 1 5:7:6
11:26:32.580 [commands] INFO  GenCommands - 1 10:8:8
11:26:32.583 [commands] INFO  GenCommands - 1 9:6:2
11:26:32.586 [commands] INFO  GenCommands - 1 3:5:7
11:26:32.589 [commands] INFO  GenCommands - 1 9:10:5
11:26:32.592 [commands] INFO  GenCommands - 1 5:7:3
11:26:32.594 [commands] INFO  GenCommands - 1 4:2:7
11:26:32.596 [commands] INFO  GenCommands - 1 2:9:3
11:26:32.598 [commands] INFO  GenCommands - 1 2:6:6
11:26:32.600 [commands] INFO  GenCommands - 1 6:2:4
11:26:32.603 [commands] INFO  GenCommands - 1 6:4:3
11:26:32.605 [commands] INFO  GenCommands - 1 10:9:7
11:26:32.608 [commands] INFO  GenCommands - 1 1:2:4
11:26:32.611 [commands] INFO  GenCommands - 1 7:3:3
11:26:32.615 [commands] INFO  GenCommands - 1 6:7:7
11:26:32.617 [commands] INFO  GenCommands - 1 2:8:5
11:26:32.619 [commands] INFO  GenCommands - 1 8:9:4
11:26:32.621 [commands] INFO  GenCommands - 1 9:2:7
11:26:32.623 [commands] INFO  GenCommands - 1 8:10:5
11:26:32.625 [commands] INFO  GenCommands - 1 4:3:5
11:26:32.628 [commands] INFO  GenCommands - 1 5:6:5
11:26:32.631 [commands] INFO  GenCommands - 1 9:4:6
11:26:32.633 [commands] INFO  GenCommands - 1 3:1:2
11:26:32.635 [commands] INFO  GenCommands - 1 7:6:2
11:26:32.638 [commands] INFO  GenCommands - 1 6:8:7
11:26:32.641 [commands] INFO  GenCommands - 1 9:6:7
11:26:32.643 [commands] INFO  GenCommands - 1 4:3:5
11:26:32.645 [commands] INFO  GenCommands - 1 7:6:3
11:26:32.647 [commands] INFO  GenCommands - 1 6:1:4
11:26:32.649 [commands] INFO  GenCommands - 1 2:10:3
11:26:32.651 [commands] INFO  GenCommands - 1 1:2:1
11:26:32.654 [commands] INFO  GenCommands - 1 2:10:4
11:26:32.658 [commands] INFO  GenCommands - 1 6:7:5
11:26:32.661 [commands] INFO  GenCommands - 1 7:9:2
11:26:32.663 [commands] INFO  GenCommands - 1 2:4:4
11:26:32.665 [commands] INFO  GenCommands - 1 8:5:3
11:26:32.667 [commands] INFO  GenCommands - 1 5:8:4
11:26:32.670 [commands] INFO  GenCommands - 1 8:7:4
11:26:32.672 [commands] INFO  GenCommands - 1 3:1:8
11:26:32.674 [commands] INFO  GenCommands - 1 8:2:4
11:26:32.676 [commands] INFO  GenCommands - 1 3:10:6
11:26:32.678 [commands] INFO  GenCommands - 1 2:9:8
11:26:32.682 [commands] INFO  GenCommands - 1 7:10:1
11:26:32.684 [commands] INFO  GenCommands - 1 1:5:3
11:26:32.686 [commands] INFO  GenCommands - 1 4:10:1
11:26:32.688 [commands] INFO  GenCommands - 1 10:6:2
11:26:32.690 [commands] INFO  GenCommands - 1 4:9:4
11:26:32.692 [commands] INFO  GenCommands - 1 2:4:8
11:26:32.694 [commands] INFO  GenCommands - 1 10:6:2
11:26:32.697 [commands] INFO  GenCommands - 1 10:8:8
11:26:32.699 [commands] INFO  GenCommands - 1 7:4:7
11:26:32.701 [commands] INFO  GenCommands - 1 6:5:1
11:26:32.703 [commands] INFO  GenCommands - 1 3:2:1
11:26:32.705 [commands] INFO  GenCommands - 1 4:2:7
11:26:32.708 [commands] INFO  GenCommands - 1 10:4:8
11:26:32.711 [commands] INFO  GenCommands - 1 9:10:8
11:26:32.713 [commands] INFO  GenCommands - 1 10:3:4
11:26:32.715 [commands] INFO  GenCommands - 1 3:2:3
11:26:32.717 [commands] INFO  GenCommands - 1 2:7:3
11:26:32.719 [commands] INFO  GenCommands - 1 1:6:8
11:26:32.721 [commands] INFO  GenCommands - 1 9:10:7
11:26:32.724 [commands] INFO  GenCommands - 1 5:4:4
11:26:32.726 [commands] INFO  GenCommands - 1 5:8:6
11:26:32.728 [commands] INFO  GenCommands - 1 6:5:5
11:26:32.731 [commands] INFO  GenCommands - 1 8:1:5
11:26:32.733 [commands] INFO  GenCommands - 1 1:3:6
11:26:32.735 [commands] INFO  GenCommands - 1 2:1:2
11:26:32.737 [commands] INFO  GenCommands - 1 6:5:6
11:26:32.740 [commands] INFO  GenCommands - 1 2:6:6
11:26:32.743 [commands] INFO  GenCommands - 1 10:2:8
11:26:32.745 [commands] INFO  GenCommands - 1 6:2:7
11:26:32.748 [commands] INFO  GenCommands - 1 8:10:2
11:26:32.751 [commands] INFO  GenCommands - 1 10:6:7
11:26:32.753 [commands] INFO  GenCommands - 1 1:7:4
11:26:32.756 [commands] INFO  GenCommands - 1 5:9:1
11:26:32.759 [commands] INFO  GenCommands - 1 9:3:4
11:26:32.761 [commands] INFO  GenCommands - 1 6:5:7
11:26:32.763 [commands] INFO  GenCommands - 1 9:5:1
11:26:32.765 [commands] INFO  GenCommands - 1 4:6:8
11:26:32.767 [commands] INFO  GenCommands - 1 5:7:2
11:26:32.769 [commands] INFO  GenCommands - 1 6:9:7
11:26:32.771 [commands] INFO  GenCommands - 1 7:9:8
11:26:32.773 [commands] INFO  GenCommands - 1 7:9:5
11:26:32.775 [commands] INFO  GenCommands - 1 8:10:3
11:26:32.777 [commands] INFO  GenCommands - 1 4:8:8
11:26:32.779 [commands] INFO  GenCommands - 1 4:5:3
11:26:32.781 [commands] INFO  GenCommands - 1 3:4:6
11:26:32.783 [commands] INFO  GenCommands - 1 6:2:3
11:26:32.785 [commands] INFO  GenCommands - 1 3:5:5
11:26:32.787 [commands] INFO  GenCommands - 1 3:6:4
11:26:32.789 [commands] INFO  GenCommands - 1 4:1:4
11:26:32.791 [commands] INFO  GenCommands - 1 6:1:7
11:26:32.794 [commands] INFO  GenCommands - 1 9:7:6
11:26:32.798 [commands] INFO  GenCommands - 1 1:3:4
11:26:32.801 [commands] INFO  GenCommands - 1 6:1:8
11:26:32.803 [commands] INFO  GenCommands - 1 1:4:2
11:26:32.805 [commands] INFO  GenCommands - 1 3:10:2
11:26:32.808 [commands] INFO  GenCommands - 1 6:8:6
11:26:32.811 [commands] INFO  GenCommands - 1 3:6:3
11:26:32.814 [commands] INFO  GenCommands - 1 6:3:2
11:26:32.816 [commands] INFO  GenCommands - 1 9:7:5
11:26:32.819 [commands] INFO  GenCommands - 1 3:9:3
11:26:32.821 [commands] INFO  GenCommands - 1 7:5:3
11:26:32.824 [commands] INFO  GenCommands - 1 6:3:6
11:26:32.828 [commands] INFO  GenCommands - 1 3:6:2
11:26:32.832 [commands] INFO  GenCommands - 1 8:3:1
11:26:32.835 [commands] INFO  GenCommands - 1 8:3:5
11:26:32.837 [commands] INFO  GenCommands - 1 7:4:4
11:26:32.839 [commands] INFO  GenCommands - 1 10:8:3
11:26:32.841 [commands] INFO  GenCommands - 1 8:10:3
11:26:32.843 [commands] INFO  GenCommands - 1 1:5:2
11:26:32.845 [commands] INFO  GenCommands - 1 9:10:8
11:26:32.847 [commands] INFO  GenCommands - 1 4:5:5
11:26:32.849 [commands] INFO  GenCommands - 1 10:9:4
11:26:32.851 [commands] INFO  GenCommands - 1 10:5:1
11:26:32.853 [commands] INFO  GenCommands - 1 2:5:7
11:26:32.855 [commands] INFO  GenCommands - 1 8:7:5
11:26:32.857 [commands] INFO  GenCommands - 1 10:9:8
11:26:32.859 [commands] INFO  GenCommands - 1 9:2:4
11:26:32.861 [commands] INFO  GenCommands - 1 6:2:7
11:26:32.864 [commands] INFO  GenCommands - 1 7:5:7
11:26:32.867 [commands] INFO  GenCommands - 1 5:3:1
11:26:32.869 [commands] INFO  GenCommands - 1 4:6:2
11:26:32.871 [commands] INFO  GenCommands - 1 10:4:7
11:26:32.873 [commands] INFO  GenCommands - 1 3:5:4
11:26:32.875 [commands] INFO  GenCommands - 1 5:3:4
11:26:32.877 [commands] INFO  GenCommands - 1 3:2:7
11:26:32.879 [commands] INFO  GenCommands - 1 6:5:6
11:26:32.881 [commands] INFO  GenCommands - 1 1:10:8
11:26:32.884 [commands] INFO  GenCommands - 1 3:4:5
11:26:32.887 [commands] INFO  GenCommands - 1 2:4:1
11:26:32.889 [commands] INFO  GenCommands - 1 6:10:2
11:26:32.892 [commands] INFO  GenCommands - 1 1:4:2
11:26:32.894 [commands] INFO  GenCommands - 1 8:2:3
11:26:32.896 [commands] INFO  GenCommands - 1 7:2:8
11:26:32.898 [commands] INFO  GenCommands - 1 8:4:4
11:26:32.901 [commands] INFO  GenCommands - 1 5:2:2
11:26:32.904 [commands] INFO  GenCommands - 1 4:9:3
11:26:32.908 [commands] INFO  GenCommands - 1 5:9:3
11:26:32.911 [commands] INFO  GenCommands - 1 2:8:1
11:26:32.913 [commands] INFO  GenCommands - 1 10:3:7
11:26:32.915 [commands] INFO  GenCommands - 1 3:6:7
11:26:32.917 [commands] INFO  GenCommands - 1 5:1:5
11:26:32.920 [commands] INFO  GenCommands - 1 6:4:8
11:26:32.924 [commands] INFO  GenCommands - 1 9:10:2
11:26:32.926 [commands] INFO  GenCommands - 1 4:1:3
11:26:32.929 [commands] INFO  GenCommands - 1 4:7:1
11:26:32.931 [commands] INFO  GenCommands - 1 2:8:3
11:26:32.934 [commands] INFO  GenCommands - 1 2:6:7
11:26:32.937 [commands] INFO  GenCommands - 1 10:9:6
11:26:32.941 [commands] INFO  GenCommands - 1 7:2:8
11:26:32.943 [commands] INFO  GenCommands - 1 1:8:1
